Date,Open,High,Low,Close,Adj Close,Volume
2021-11-30,96.639999,97.430000,94.470001,94.989998,94.591263,11409400
2021-12-01,96.550003,96.889999,92.940002,93.000000,92.609612,8657100
2021-12-02,94.199997,95.779999,92.809998,95.230003,94.830254,6094600
2021-12-03,95.129997,95.349998,91.730003,92.769997,92.380577,8082800
2021-12-06,93.849998,96.889999,93.239998,96.010002,95.606979,6679900
2021-12-07,96.599998,98.330002,96.300003,97.550003,97.140526,5049000
2021-12-08,97.550003,98.940002,96.980003,98.279999,97.867447,4756800
2021-12-09,97.769997,98.190002,97.000000,97.830002,97.419334,4066700
2021-12-10,98.089996,98.559998,96.449997,96.949997,96.543022,4276300
2021-12-13,95.970001,96.400002,92.820000,93.129997,92.739067,7378600
2021-12-14,92.750000,94.059998,91.720001,92.110001,91.723358,7260800
2021-12-15,92.220001,92.410004,90.180000,92.080002,91.693474,7694500
2021-12-16,92.519997,94.339996,92.199997,92.529999,92.141586,7127400
2021-12-17,92.449997,93.070000,90.110001,91.449997,91.066116,9065000
2021-12-20,90.000000,90.099998,88.169998,89.980003,89.680740,6013200
2021-12-21,90.720001,93.669998,90.720001,93.059998,92.750496,7617700
2021-12-22,92.919998,93.709999,92.160004,93.070000,92.760468,4663900
2021-12-23,93.300003,94.540001,93.300003,94.000000,93.687378,3885500
2021-12-27,93.629997,94.669998,93.449997,94.620003,94.305321,3428900
2021-12-28,94.430000,96.080002,94.239998,95.300003,94.983055,4051900
2021-12-29,95.000000,95.480003,94.440002,94.790001,94.474754,3490500
2021-12-30,94.660004,95.980003,94.529999,94.699997,94.385040,3269000
2021-12-31,94.500000,94.970001,93.900002,94.470001,94.155815,3795700
2022-01-03,95.220001,97.440002,94.750000,96.239998,95.919922,4619800
2022-01-04,98.779999,100.050003,98.089996,99.370003,99.039520,7624100
2022-01-05,99.730003,101.790001,99.290001,99.370003,99.039520,5894700
2022-01-06,100.449997,101.080002,99.419998,99.949997,99.617584,4277000
2022-01-07,99.800003,102.239998,99.769997,101.400002,101.062767,6248300
2022-01-10,101.720001,102.000000,98.940002,99.419998,99.089348,5768700
2022-01-11,100.290001,102.370003,99.970001,101.790001,101.451469,5673900
2022-01-12,101.430000,102.620003,101.379997,102.239998,101.899963,4558500
2022-01-13,102.290001,103.650002,101.800003,102.459999,102.119240,4382500
2022-01-14,101.660004,103.269997,100.910004,103.160004,102.816910,4380300
2022-01-18,102.559998,103.730003,102.160004,102.889999,102.547813,8410600
2022-01-19,102.690002,102.989998,100.470001,100.620003,100.285362,5699000
2022-01-20,100.230003,101.790001,97.970001,98.250000,97.923241,5635500
2022-01-21,97.699997,98.349998,95.860001,96.300003,95.979736,8077400
2022-01-24,94.589996,97.440002,92.290001,96.910004,96.587700,9873300
2022-01-25,91.120003,92.360001,88.300003,91.110001,90.806984,20952000
2022-01-26,91.510002,91.910004,88.050003,89.320000,89.022934,10637200
2022-01-27,90.000000,91.769997,88.070000,89.900002,89.601013,7804600
2022-01-28,89.300003,92.160004,88.849998,92.099998,91.793694,6478600
2022-01-31,91.610001,94.559998,91.029999,94.480003,94.165779,7001600
2022-02-01,95.000000,98.419998,94.750000,97.949997,97.624237,8149200
2022-02-02,97.669998,98.580002,96.160004,98.040001,97.713936,5561400
2022-02-03,97.150002,99.160004,96.550003,98.320000,97.993004,6213300
2022-02-04,97.699997,100.050003,97.639999,99.010002,98.680717,6403600
2022-02-07,99.370003,100.589996,98.500000,99.900002,99.567749,4385700
2022-02-08,99.980003,100.500000,98.629997,99.309998,98.979713,5158400
2022-02-09,100.250000,100.470001,99.120003,99.250000,98.919914,6624200
2022-02-10,98.389999,100.680000,98.000000,98.790001,98.461441,5512900
2022-02-11,99.019997,100.230003,96.169998,96.830002,96.507973,7455500
2022-02-14,96.709999,97.400002,95.559998,96.599998,96.278732,6960800
2022-02-15,97.989998,101.379997,97.949997,100.919998,100.584358,6692400
2022-02-16,100.089996,101.910004,99.889999,101.410004,101.072731,4891100
2022-02-17,100.349998,100.430000,97.879997,98.459999,98.132545,3881000
2022-02-18,98.419998,98.970001,91.919998,92.690002,92.381737,15644100
2022-02-22,92.639999,95.220001,92.370003,94.150002,93.836876,7694100
2022-02-23,93.790001,94.860001,92.309998,92.650002,92.341866,7376500
2022-02-24,90.589996,93.089996,87.699997,92.540001,92.232231,11392400
2022-02-25,93.410004,97.419998,93.059998,96.370003,96.049500,6972500
2022-02-28,94.760002,95.820000,94.129997,95.510002,95.192360,6319100
2022-03-01,94.959999,96.059998,91.870003,92.330002,92.022934,6732500
