tickers,in_out
FER.MC,False
COL.MC,False
IBE.MC,False
NTGY.MC,False
SAB.MC,True
ACX.MC,False
PHM.MC,False
SAN.MC,True
MRL.MC,True
TEF.MC,True
AMS.MC,False
VIS.MC,False
MTS.MC,False
MAP.MC,True
CLNX.MC,False
BBVA.MC,True
CABK.MC,True
MEL.MC,True
AENA.MC,True
BKT.MC,True
REE.MC,False
FDR.MC,False
ACS.MC,False
ITX.MC,False
ENG.MC,False
ANA.MC,False
ELE.MC,False
GRF.MC,False
IAG.MC,True
SGRE.MC,False
