tickers,in_out
FER.MC,False
COL.MC,False
IBE.MC,False
NTGY.MC,False
SAB.MC,False
ACX.MC,False
PHM.MC,False
SAN.MC,False
MRL.MC,True
TEF.MC,True
AMS.MC,False
VIS.MC,False
MTS.MC,False
MAP.MC,False
CLNX.MC,False
BBVA.MC,True
CABK.MC,True
MEL.MC,True
AENA.MC,True
BKT.MC,True
REE.MC,False
FDR.MC,False
ACS.MC,False
ITX.MC,False
ENG.MC,False
ANA.MC,False
ELE.MC,False
GRF.MC,False
IAG.MC,False
SGRE.MC,False
