===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
27,TSLA,27,2018-02-08 23:59:59.999989,343.31,348.62,314.6,315.23,10314600.0,0.0,315.230011,TestStrategy,27,736733.9999999999,Broker,27,1000.0,1000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,TSLA,28,2018-02-09 23:59:59.999989,319.93,320.98,294.76,310.42,12933700.0,0.0,310.420013,TestStrategy,28,736734.9999999999,Broker,28,1000.0,1000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,TSLA,29,2018-02-12 23:59:59.999989,316.13,318.08,306.25,315.73,6227800.0,0.0,315.730011,TestStrategy,29,736737.9999999999,Broker,29,1000.0,1000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,TSLA,30,2018-02-13 23:59:59.999989,315.02,324.19,312.51,323.66,4560200.0,0.0,323.660004,TestStrategy,30,736738.9999999999,Broker,30,1000.0,1000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,TSLA,31,2018-02-14 23:59:59.999989,320.84,326.17,318.52,322.31,3950700.0,0.0,322.309998,TestStrategy,31,736739.9999999999,Broker,31,1000.0,1000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,TSLA,32,2018-02-15 23:59:59.999989,324.5,334.12,322.4,334.07,5912900.0,0.0,334.070007,TestStrategy,32,736740.9999999999,Broker,32,1000.0,1000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,TSLA,33,2018-02-16 23:59:59.999989,332.5,343.12,331.64,335.49,5642600.0,0.0,335.48999,TestStrategy,33,736741.9999999999,Broker,33,1000.0,1000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,TSLA,34,2018-02-20 23:59:59.999989,334.47,340.84,331.5,334.77,4009400.0,0.0,334.769989,TestStrategy,34,736745.9999999999,Broker,34,1000.0,1000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,TSLA,35,2018-02-21 23:59:59.999989,336.03,339.69,333.17,333.3,3219600.0,0.0,333.299988,TestStrategy,35,736746.9999999999,Broker,35,1000.0,1000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,TSLA,36,2018-02-22 23:59:59.999989,335.53,347.44,334.75,346.17,6969800.0,0.0,346.170013,TestStrategy,36,736747.9999999999,Broker,36,1000.0,1000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,TSLA,37,2018-02-23 23:59:59.999989,347.83,354.99,347.1,352.05,5817400.0,0.0,352.049988,TestStrategy,37,736748.9999999999,Broker,37,1000.0,1000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,TSLA,38,2018-02-26 23:59:59.999989,353.5,359.0,352.36,357.42,4340000.0,0.0,357.420013,TestStrategy,38,736751.9999999999,Broker,38,1000.0,1000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,TSLA,39,2018-02-27 23:59:59.999989,356.25,359.99,350.01,350.99,4797400.0,0.0,350.98999,TestStrategy,39,736752.9999999999,Broker,39,1000.0,1000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,TSLA,40,2018-02-28 23:59:59.999989,352.57,355.24,342.22,343.06,6069700.0,0.0,343.059998,TestStrategy,40,736753.9999999999,Broker,40,1000.0,1000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,TSLA,41,2018-03-01 23:59:59.999989,345.01,348.67,330.07,330.93,6885600.0,0.0,330.929993,TestStrategy,41,736754.9999999999,Broker,41,1000.0,1000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,TSLA,42,2018-03-02 23:59:59.999989,326.98,335.22,322.97,335.12,5092800.0,0.0,335.119995,TestStrategy,42,736755.9999999999,Broker,42,1000.0,1000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,TSLA,43,2018-03-05 23:59:59.999989,332.39,337.75,329.29,333.35,3823800.0,0.0,333.350006,TestStrategy,43,736758.9999999999,Broker,43,1000.0,1000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
