===============================================================================
Id,oracle,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
11,oracle,11,2000-01-18 23:59:59.999989,23.99,25.46,23.49,24.74,75076722.0,0.0,24.738943,TestStrategy,11,730137.9999999999,Broker,11,10001.97,10001.97,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,oracle,12,2000-01-19 23:59:59.999989,24.96,25.91,24.02,25.41,55310781.0,0.0,25.406065,TestStrategy,12,730138.9999999999,Broker,12,10001.97,10001.97,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,oracle,13,2000-01-20 23:59:59.999989,26.24,26.8,25.85,26.35,61301186.0,0.0,26.351145,TestStrategy,13,730139.9999999999,Broker,13,10001.97,10001.97,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,oracle,14,2000-01-21 23:59:59.999989,27.35,27.35,26.24,26.55,57213676.0,0.0,26.545721,TestStrategy,14,730140.9999999999,Broker,14,10001.97,10001.97,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,oracle,15,2000-01-24 23:59:59.999989,26.8,26.85,24.02,24.1,56237153.0,0.0,24.099627,TestStrategy,15,730143.9999999999,Broker,15,10001.97,10001.97,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,oracle,16,2000-01-25 23:59:59.999989,24.49,25.57,24.41,25.1,59651251.0,0.0,25.1003,TestStrategy,16,730144.9999999999,Broker,16,10001.97,10001.97,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,oracle,17,2000-01-26 23:59:59.999989,25.24,26.21,24.46,24.49,53479177.0,0.0,24.488775,TestStrategy,17,730145.9999999999,Broker,17,10001.97,10001.97,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,oracle,18,2000-01-27 23:59:59.999989,24.82,25.21,22.24,23.04,68639316.0,0.0,23.043356,TestStrategy,18,730146.9999999999,Broker,18,10001.97,10001.97,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,oracle,19,2000-01-28 23:59:59.999989,22.9,23.1,20.74,21.07,97127546.0,0.0,21.069799,TestStrategy,19,730147.9999999999,Broker,19,10001.97,10001.97,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,oracle,20,2000-01-31 23:59:59.999989,21.32,22.29,20.93,22.22,76614677.0,0.0,22.216394,TestStrategy,20,730150.9999999999,Broker,20,10001.97,10001.97,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,oracle,21,2000-02-01 23:59:59.999989,22.79,24.16,22.24,24.02,64200376.0,0.0,24.016233,TestStrategy,21,730151.9999999999,Broker,21,10001.97,10001.97,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,oracle,22,2000-02-02 23:59:59.999989,24.43,24.91,24.02,24.16,71876009.0,0.0,24.155216,TestStrategy,22,730152.9999999999,Broker,22,10001.97,10001.97,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,oracle,23,2000-02-03 23:59:59.999989,24.63,25.35,24.13,25.21,62432623.0,0.0,25.211485,TestStrategy,23,730153.9999999999,Broker,23,10001.97,10001.97,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,oracle,24,2000-02-04 23:59:59.999989,25.63,25.91,25.27,25.71,45999388.0,0.0,25.711823,TestStrategy,24,730154.9999999999,Broker,24,10001.97,10001.97,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,oracle,25,2000-02-07 23:59:59.999989,26.38,26.68,26.18,26.66,50243618.0,0.0,26.656906,TestStrategy,25,730157.9999999999,Broker,25,10001.97,10001.97,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,oracle,26,2000-02-08 23:59:59.999989,27.02,27.32,26.24,26.49,62640385.0,0.0,26.490126,TestStrategy,26,730158.9999999999,Broker,26,10001.97,10001.97,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,oracle,27,2000-02-09 23:59:59.999989,26.71,27.27,26.16,26.66,58990652.0,0.0,26.656906,TestStrategy,27,730159.9999999999,Broker,27,10001.97,10001.97,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,oracle,28,2000-02-10 23:59:59.999989,26.68,27.85,25.8,27.71,50915236.0,0.0,27.713177,TestStrategy,28,730160.9999999999,Broker,28,10001.97,10001.97,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,oracle,29,2000-02-11 23:59:59.999989,27.8,28.8,26.13,26.55,62703338.0,0.0,26.545721,TestStrategy,29,730161.9999999999,Broker,29,10001.97,10001.97,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,oracle,30,2000-02-14 23:59:59.999989,27.07,27.69,26.07,27.66,42271184.0,0.0,27.657583,TestStrategy,30,730164.9999999999,Broker,30,10001.97,10001.97,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,oracle,31,2000-02-15 23:59:59.999989,27.41,28.1,26.3,27.3,53931343.0,0.0,27.29623,TestStrategy,31,730165.9999999999,Broker,31,10001.97,10001.97,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,oracle,32,2000-02-16 23:59:59.999989,27.13,27.82,26.74,27.24,37649884.0,0.0,27.240635,TestStrategy,32,730166.9999999999,Broker,32,10001.97,10001.97,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,oracle,33,2000-02-17 23:59:59.999989,27.46,27.91,26.68,27.41,45410942.0,0.0,27.407425,TestStrategy,33,730167.9999999999,Broker,33,10001.97,10001.97,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,oracle,34,2000-02-18 23:59:59.999989,27.44,27.57,25.96,26.05,71825867.0,0.0,26.045383,TestStrategy,34,730168.9999999999,Broker,34,10001.97,10001.97,BuySell,34,,,Trades - Net Profit/Loss,34,,
999999999,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,oracle,33,2000-02-17 23:59:59.999989,27.46,27.91,26.68,27.41,45410942.0,0.0,27.407425,TestStrategy,33,730167.9999999999,Broker,33,9978.699999999999,10006.109999999999,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,oracle,34,2000-02-18 23:59:59.999989,27.44,27.57,25.96,26.05,71825867.0,0.0,26.045383,TestStrategy,34,730168.9999999999,Broker,34,9978.699999999999,10004.749999999998,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,oracle,35,2000-02-22 23:59:59.999989,26.3,27.32,25.04,26.38,84932020.0,0.0,26.378944,TestStrategy,35,730172.9999999999,Broker,35,9978.699999999999,10005.079999999998,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,oracle,36,2000-02-23 23:59:59.999989,26.77,28.14,26.52,28.05,78319480.0,0.0,28.046734,TestStrategy,36,730173.9999999999,Broker,36,9978.699999999999,10006.749999999998,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,oracle,37,2000-02-24 23:59:59.999989,28.1,28.94,26.8,27.55,79779630.0,0.0,27.5464,TestStrategy,37,730174.9999999999,Broker,37,9978.699999999999,10006.249999999998,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,oracle,38,2000-02-25 23:59:59.999989,27.52,31.58,27.52,31.41,116006445.0,0.0,31.410124,TestStrategy,38,730175.9999999999,Broker,38,9978.699999999999,10010.109999999999,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,oracle,39,2000-02-28 23:59:59.999989,31.69,34.02,30.35,30.52,137513135.0,0.0,30.520636,TestStrategy,39,730178.9999999999,Broker,39,9978.699999999999,10009.22,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,oracle,40,2000-02-29 23:59:59.999989,32.63,33.11,31.63,33.02,62492412.0,0.0,33.022331,TestStrategy,40,730179.9999999999,Broker,40,9978.699999999999,10011.72,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,oracle,41,2000-03-01 23:59:59.999989,32.8,33.13,31.47,31.8,50517024.0,0.0,31.799276,TestStrategy,41,730180.9999999999,Broker,41,9978.699999999999,10010.499999999998,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,oracle,42,2000-03-02 23:59:59.999989,32.69,32.72,30.19,30.47,58810111.0,0.0,30.465029,TestStrategy,42,730181.9999999999,Broker,42,9978.699999999999,10009.169999999998,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,oracle,43,2000-03-03 23:59:59.999989,31.63,33.41,31.21,33.36,53934748.0,0.0,33.355862,TestStrategy,43,730182.9999999999,Broker,43,9978.699999999999,10012.06,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,oracle,44,2000-03-06 23:59:59.999989,33.27,34.22,32.19,33.69,51176067.0,0.0,33.689434,TestStrategy,44,730185.9999999999,Broker,44,9978.699999999999,10012.39,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,oracle,45,2000-03-07 23:59:59.999989,34.08,35.58,33.08,33.33,60688898.0,0.0,33.328098,TestStrategy,45,730186.9999999999,Broker,45,9978.699999999999,10012.029999999999,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,oracle,46,2000-03-08 23:59:59.999989,34.41,37.16,33.36,36.97,70581103.0,0.0,36.969437,TestStrategy,46,730187.9999999999,Broker,46,9978.699999999999,10015.669999999998,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,oracle,47,2000-03-09 23:59:59.999989,37.5,37.8,35.64,37.36,63492998.0,0.0,37.358589,TestStrategy,47,730188.9999999999,Broker,47,9978.699999999999,10016.06,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,oracle,48,2000-03-10 23:59:59.999989,37.36,37.39,35.69,36.3,50253264.0,0.0,36.30233,TestStrategy,48,730189.9999999999,Broker,48,9978.699999999999,10014.999999999998,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,oracle,49,2000-03-13 23:59:59.999989,34.91,37.19,34.15,35.02,73978569.0,0.0,35.02367,TestStrategy,49,730192.9999999999,Broker,49,9978.699999999999,10013.72,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,oracle,50,2000-03-14 23:59:59.999989,36.41,37.25,34.02,34.25,81354448.0,0.0,34.24538,TestStrategy,50,730193.9999999999,Broker,50,9978.699999999999,10012.949999999999,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,oracle,51,2000-03-15 23:59:59.999989,37.36,37.8,34.25,34.97,162801608.0,0.0,34.968075,TestStrategy,51,730194.9999999999,Broker,51,9978.699999999999,10013.669999999998,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,oracle,52,2000-03-16 23:59:59.999989,35.89,36.72,34.11,36.44,107401303.0,0.0,36.441299,TestStrategy,52,730195.9999999999,Broker,52,9978.699999999999,10015.14,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,oracle,53,2000-03-17 23:59:59.999989,36.36,36.47,35.36,35.5,74261854.0,0.0,35.496223,TestStrategy,53,730196.9999999999,Broker,53,9978.699999999999,10014.199999999999,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,oracle,54,2000-03-20 23:59:59.999989,35.8,35.86,34.5,34.75,53045681.0,0.0,34.745701,TestStrategy,54,730199.9999999999,Broker,54,9978.699999999999,10013.449999999999,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,oracle,55,2000-03-21 23:59:59.999989,34.63,35.97,33.8,35.89,59159053.0,0.0,35.885372,TestStrategy,55,730200.9999999999,Broker,55,9978.699999999999,10014.589999999998,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,oracle,56,2000-03-22 23:59:59.999989,36.02,37.53,35.08,37.39,59806845.0,0.0,37.386383,TestStrategy,56,730201.9999999999,Broker,56,9978.699999999999,10016.089999999998,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,oracle,57,2000-03-23 23:59:59.999989,36.97,39.14,36.72,38.64,57115644.0,0.0,38.637226,TestStrategy,57,730202.9999999999,Broker,57,9978.699999999999,10017.339999999998,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,oracle,58,2000-03-24 23:59:59.999989,38.61,39.89,38.44,38.69,59384137.0,0.0,38.692818,TestStrategy,58,730203.9999999999,Broker,58,9978.699999999999,10017.39,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,oracle,59,2000-03-27 23:59:59.999989,39.61,39.72,38.67,39.33,36647052.0,0.0,39.332153,TestStrategy,59,730206.9999999999,Broker,59,9978.699999999999,10018.029999999999,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,oracle,60,2000-03-28 23:59:59.999989,38.97,40.03,38.03,38.5,40516682.0,0.0,38.498257,TestStrategy,60,730207.9999999999,Broker,60,9978.699999999999,10017.199999999999,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,oracle,61,2000-03-29 23:59:59.999989,38.28,38.3,36.5,36.69,58422453.0,0.0,36.691471,TestStrategy,61,730208.9999999999,Broker,61,9978.699999999999,10015.39,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,oracle,62,2000-03-30 23:59:59.999989,34.91,37.58,34.69,34.88,79805266.0,0.0,34.884693,TestStrategy,62,730209.9999999999,Broker,62,9978.699999999999,10013.579999999998,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,oracle,63,2000-03-31 23:59:59.999989,35.66,36.27,33.8,34.72,89761527.0,0.0,34.717915,TestStrategy,63,730210.9999999999,Broker,63,9978.699999999999,10013.419999999998,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,oracle,64,2000-04-03 23:59:59.999989,34.97,35.86,33.36,34.19,80493304.0,0.0,34.189777,TestStrategy,64,730213.9999999999,Broker,64,9978.699999999999,10012.89,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,oracle,65,2000-04-04 23:59:59.999989,34.75,34.75,28.94,33.77,138994016.0,0.0,33.772827,TestStrategy,65,730214.9999999999,Broker,65,9978.699999999999,10012.47,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,oracle,66,2000-04-05 23:59:59.999989,32.58,36.02,32.26,34.8,82897831.0,0.0,34.8013,TestStrategy,66,730215.9999999999,Broker,66,9978.699999999999,10013.499999999998,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,oracle,67,2000-04-06 23:59:59.999989,35.86,37.11,35.64,36.55,70161766.0,0.0,36.552486,TestStrategy,67,730216.9999999999,Broker,67,9978.699999999999,10015.249999999998,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,oracle,68,2000-04-07 23:59:59.999989,37.22,38.8,36.91,38.75,52574599.0,0.0,38.748425,TestStrategy,68,730217.9999999999,Broker,68,9978.699999999999,10017.449999999999,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,oracle,69,2000-04-10 23:59:59.999989,38.92,38.97,36.58,36.69,63228577.0,0.0,36.691471,TestStrategy,69,730220.9999999999,Broker,69,9978.699999999999,10015.39,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,oracle,70,2000-04-11 23:59:59.999989,35.66,36.3,34.16,34.41,79802818.0,0.0,34.41214,TestStrategy,70,730221.9999999999,Broker,70,9978.699999999999,10013.109999999999,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,oracle,71,2000-04-12 23:59:59.999989,34.66,35.58,32.44,32.52,75473554.0,0.0,32.521992,TestStrategy,71,730222.9999999999,Broker,71,9978.699999999999,10011.22,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,oracle,72,2000-04-13 23:59:59.999989,33.3,34.47,31.91,31.99,71059570.0,0.0,31.993855,TestStrategy,72,730223.9999999999,Broker,72,9978.699999999999,10010.689999999999,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,oracle,73,2000-04-14 23:59:59.999989,31.1,31.7,26.8,27.8,123611717.0,0.0,27.796566,TestStrategy,73,730224.9999999999,Broker,73,9978.699999999999,10006.499999999998,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,oracle,74,2000-04-17 23:59:59.999989,26.91,33.3,26.76,33.27,129630227.0,0.0,33.272488,TestStrategy,74,730227.9999999999,Broker,74,9978.699999999999,10011.97,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,oracle,75,2000-04-18 23:59:59.999989,33.61,35.16,32.8,35.11,88521256.0,0.0,35.107071,TestStrategy,75,730228.9999999999,Broker,75,9978.699999999999,10013.81,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,oracle,76,2000-04-19 23:59:59.999989,34.97,35.39,33.02,33.16,51922110.0,0.0,33.161301,TestStrategy,76,730229.9999999999,Broker,76,9978.699999999999,10011.859999999999,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,oracle,77,2000-04-20 23:59:59.999989,32.83,33.58,31.08,31.49,56659185.0,0.0,31.493519,TestStrategy,77,730230.9999999999,Broker,77,9978.699999999999,10010.189999999999,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,oracle,78,2000-04-24 23:59:59.999989,29.96,32.33,29.8,32.22,67145890.0,0.0,32.216217,TestStrategy,78,730234.9999999999,Broker,78,9978.699999999999,10010.919999999998,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,oracle,79,2000-04-25 23:59:59.999989,33.3,33.97,32.3,33.61,69437766.0,0.0,33.606045,TestStrategy,79,730235.9999999999,Broker,79,9978.699999999999,10012.31,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,oracle,80,2000-04-26 23:59:59.999989,33.86,34.61,31.6,32.11,53726042.0,0.0,32.105045,TestStrategy,80,730236.9999999999,Broker,80,9978.699999999999,10010.81,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,oracle,81,2000-04-27 23:59:59.999989,31.16,34.5,31.1,34.38,58574017.0,0.0,34.384346,TestStrategy,81,730237.9999999999,Broker,81,9978.699999999999,10013.079999999998,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,oracle,82,2000-04-28 23:59:59.999989,34.91,35.58,34.75,35.55,46876964.0,0.0,35.551811,TestStrategy,82,730238.9999999999,Broker,82,9978.699999999999,10014.249999999998,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,oracle,83,2000-05-01 23:59:59.999989,35.52,36.41,35.02,35.44,41701871.0,0.0,35.44062,TestStrategy,83,730241.9999999999,Broker,83,9978.699999999999,10014.14,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,oracle,84,2000-05-02 23:59:59.999989,35.11,35.36,34.41,34.61,39731748.0,0.0,34.606728,TestStrategy,84,730242.9999999999,Broker,84,9978.699999999999,10013.31,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,oracle,85,2000-05-03 23:59:59.999989,34.19,34.3,32.08,33.72,55765874.0,0.0,33.717239,TestStrategy,85,730243.9999999999,Broker,85,9978.699999999999,10012.419999999998,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,oracle,86,2000-05-04 23:59:59.999989,33.49,34.22,32.47,33.02,44856920.0,0.0,33.022331,TestStrategy,86,730244.9999999999,Broker,86,9978.699999999999,10011.72,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,oracle,87,2000-05-05 23:59:59.999989,32.91,34.25,32.8,34.16,39673957.0,0.0,34.161987,TestStrategy,87,730245.9999999999,Broker,87,9978.699999999999,10012.859999999999,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,oracle,88,2000-05-08 23:59:59.999989,33.49,33.8,32.05,32.16,41066676.0,0.0,32.160625,TestStrategy,88,730248.9999999999,Broker,88,9978.699999999999,10010.859999999999,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,oracle,89,2000-05-09 23:59:59.999989,32.77,33.02,31.69,32.02,48943989.0,0.0,32.021648,TestStrategy,89,730249.9999999999,Broker,89,9978.699999999999,10010.72,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,oracle,90,2000-05-10 23:59:59.999989,31.55,32.52,30.02,30.08,80011897.0,0.0,30.075888,TestStrategy,90,730250.9999999999,Broker,90,9978.699999999999,10008.779999999999,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,oracle,91,2000-05-11 23:59:59.999989,30.66,32.19,30.24,32.19,52378535.0,0.0,32.188431,TestStrategy,91,730251.9999999999,Broker,91,9978.699999999999,10010.89,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,oracle,92,2000-05-12 23:59:59.999989,32.61,34.0,32.49,32.99,43888262.0,0.0,32.994545,TestStrategy,92,730252.9999999999,Broker,92,9978.699999999999,10011.689999999999,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,oracle,93,2000-05-15 23:59:59.999989,33.11,34.25,31.41,34.25,47186345.0,0.0,34.24538,TestStrategy,93,730255.9999999999,Broker,93,9978.699999999999,10012.949999999999,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,oracle,94,2000-05-16 23:59:59.999989,34.52,35.47,34.27,35.22,43014970.0,0.0,35.218258,TestStrategy,94,730256.9999999999,Broker,94,9978.699999999999,10013.919999999998,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,oracle,95,2000-05-17 23:59:59.999989,34.58,35.52,33.91,34.77,38216949.0,0.0,34.773506,TestStrategy,95,730257.9999999999,Broker,95,9978.699999999999,10013.47,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,oracle,96,2000-05-18 23:59:59.999989,34.83,35.02,32.22,32.49,52214845.0,0.0,32.494194,TestStrategy,96,730258.9999999999,Broker,96,9978.699999999999,10011.189999999999,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,oracle,97,2000-05-19 23:59:59.999989,32.02,32.91,30.91,31.16,58717686.0,0.0,31.15995,TestStrategy,97,730259.9999999999,Broker,97,9978.699999999999,10009.859999999999,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,oracle,98,2000-05-22 23:59:59.999989,31.16,31.24,27.91,30.16,102481161.0,0.0,30.159281,TestStrategy,98,730262.9999999999,Broker,98,9978.699999999999,10008.859999999999,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,oracle,99,2000-05-23 23:59:59.999989,29.8,30.47,27.74,27.85,65851205.0,0.0,27.852161,TestStrategy,99,730263.9999999999,Broker,99,9978.699999999999,10006.55,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,oracle,100,2000-05-24 23:59:59.999989,27.47,28.69,25.85,28.57,95779800.0,0.0,28.574875,TestStrategy,100,730264.9999999999,Broker,100,9978.699999999999,10007.269999999999,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,oracle,101,2000-05-25 23:59:59.999989,29.13,31.49,28.91,29.55,91016169.0,0.0,29.547756,TestStrategy,101,730265.9999999999,Broker,101,9978.699999999999,10008.249999999998,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,oracle,102,2000-05-26 23:59:59.999989,29.71,30.91,28.94,29.8,32494786.0,0.0,29.797928,TestStrategy,102,730266.9999999999,Broker,102,9978.699999999999,10008.499999999998,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,oracle,103,2000-05-30 23:59:59.999989,30.63,32.99,30.49,32.99,43769992.0,0.0,32.994545,TestStrategy,103,730270.9999999999,Broker,103,9978.699999999999,10011.689999999999,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,oracle,104,2000-05-31 23:59:59.999989,32.58,34.0,31.91,31.97,57268525.0,0.0,31.966059,TestStrategy,104,730271.9999999999,Broker,104,9978.699999999999,10010.669999999998,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,oracle,105,2000-06-01 23:59:59.999989,32.88,34.63,32.69,34.63,60035498.0,0.0,34.634533,TestStrategy,105,730272.9999999999,Broker,105,9978.699999999999,10013.329999999998,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,oracle,106,2000-06-02 23:59:59.999989,35.8,36.25,34.91,35.66,65166309.0,0.0,35.663002,TestStrategy,106,730273.9999999999,Broker,106,9978.699999999999,10014.359999999999,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,oracle,107,2000-06-05 23:59:59.999989,35.25,36.47,35.13,36.0,43291312.0,0.0,35.996559,TestStrategy,107,730276.9999999999,Broker,107,9978.699999999999,10014.699999999999,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,oracle,108,2000-06-06 23:59:59.999989,35.8,36.25,33.91,34.27,44992053.0,0.0,34.273178,TestStrategy,108,730277.9999999999,Broker,108,9978.699999999999,10012.97,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,oracle,109,2000-06-07 23:59:59.999989,34.13,35.69,33.61,35.58,38314971.0,0.0,35.579617,TestStrategy,109,730278.9999999999,Broker,109,9978.699999999999,10014.279999999999,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,oracle,110,2000-06-08 23:59:59.999989,36.41,36.8,35.69,36.64,52579109.0,0.0,36.635876,TestStrategy,110,730279.9999999999,Broker,110,9978.699999999999,10015.339999999998,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,oracle,111,2000-06-09 23:59:59.999989,36.86,37.25,36.41,36.77,37072025.0,0.0,36.774857,TestStrategy,111,730280.9999999999,Broker,111,9978.699999999999,10015.47,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,oracle,112,2000-06-12 23:59:59.999989,36.72,36.83,35.75,35.83,27213344.0,0.0,35.829773,TestStrategy,112,730283.9999999999,Broker,112,9978.699999999999,10014.529999999999,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,oracle,113,2000-06-13 23:59:59.999989,35.57,36.36,34.72,36.33,41854778.0,0.0,36.330101,TestStrategy,113,730284.9999999999,Broker,113,9978.699999999999,10015.029999999999,BuySell,113,,,Trades - Net Profit/Loss,113,,
