===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,cruceSMA_,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
28,,28,2020-02-10 00:00:00,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,109348800.0,,cruceSMA_,28,737465.0,Broker,28,200.0,200.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2020-02-11 00:00:00,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,94323200.0,,cruceSMA_,29,737466.0,Broker,29,200.0,200.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2020-02-12 00:00:00,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,113730400.0,,cruceSMA_,30,737467.0,Broker,30,200.0,200.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2020-02-13 00:00:00,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,94747600.0,,cruceSMA_,31,737468.0,Broker,31,200.0,200.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2020-02-14 00:00:00,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,80113600.0,,cruceSMA_,32,737469.0,Broker,32,200.0,200.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2020-02-18 00:00:00,78.83999633789062,79.9375,78.65249633789062,79.75,152531200.0,,cruceSMA_,33,737473.0,Broker,33,200.0,200.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2020-02-19 00:00:00,80.0,81.14250183105469,80.0,80.90499877929688,93984000.0,,cruceSMA_,34,737474.0,Broker,34,200.0,200.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2020-02-20 00:00:00,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,100566000.0,,cruceSMA_,35,737475.0,Broker,35,200.0,200.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2020-02-21 00:00:00,79.65499877929688,80.11250305175781,77.625,78.26249694824219,129554000.0,,cruceSMA_,36,737476.0,Broker,36,200.0,200.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2020-02-24 00:00:00,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,222195200.0,,cruceSMA_,37,737479.0,Broker,37,200.0,200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2020-02-25 00:00:00,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,230673600.0,,cruceSMA_,38,737480.0,Broker,38,200.0,200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2020-02-26 00:00:00,71.63249969482422,74.47000122070312,71.625,73.1624984741211,198054800.0,,cruceSMA_,39,737481.0,Broker,39,343.26499938964844,196.94000244140625,BuySell,39,,75.58705123901366,Trades - Net Profit/Loss,39,,
40,,40,2020-02-27 00:00:00,70.2750015258789,71.5,68.23999786376953,68.37999725341797,320605600.0,,cruceSMA_,40,737482.0,Broker,40,343.26499938964844,206.5050048828125,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2020-02-28 00:00:00,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,426510000.0,,cruceSMA_,41,737483.0,Broker,41,343.26499938964844,206.5850067138672,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2020-03-02 00:00:00,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,341397200.0,,cruceSMA_,42,737486.0,Broker,42,343.26499938964844,193.86000061035156,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2020-03-03 00:00:00,75.9175033569336,76.0,71.44999694824219,72.33000183105469,319475600.0,,cruceSMA_,43,737487.0,Broker,43,343.26499938964844,198.60499572753906,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2020-03-04 00:00:00,74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,219178400.0,,cruceSMA_,44,737488.0,Broker,44,343.26499938964844,191.89500427246094,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2020-03-05 00:00:00,73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,187572800.0,,cruceSMA_,45,737489.0,Broker,45,343.26499938964844,196.80499267578125,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2020-03-06 00:00:00,70.5,72.70500183105469,70.30750274658203,72.25749969482422,226176800.0,,cruceSMA_,46,737490.0,Broker,46,343.26499938964844,198.75,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2020-03-09 00:00:00,65.9375,69.52249908447266,65.75,66.5425033569336,286744800.0,,cruceSMA_,47,737493.0,Broker,47,343.26499938964844,210.17999267578125,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2020-03-10 00:00:00,69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,285290000.0,,cruceSMA_,48,737494.0,Broker,48,343.26499938964844,200.59500122070312,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2020-03-11 00:00:00,69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,255598800.0,,cruceSMA_,49,737495.0,Broker,49,343.26499938964844,205.5500030517578,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2020-03-12 00:00:00,63.98500061035156,67.5,62.0,62.057498931884766,418474000.0,,cruceSMA_,50,737496.0,Broker,50,343.26499938964844,219.1500015258789,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2020-03-13 00:00:00,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,370732000.0,,cruceSMA_,51,737497.0,Broker,51,343.26499938964844,204.27999877929688,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2020-03-16 00:00:00,60.48749923706055,64.7699966430664,60.0,60.5525016784668,322423600.0,,cruceSMA_,52,737500.0,Broker,52,343.26499938964844,222.15999603271484,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2020-03-17 00:00:00,61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,324056000.0,,cruceSMA_,53,737501.0,Broker,53,343.26499938964844,216.83499908447266,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2020-03-18 00:00:00,59.942501068115234,62.5,59.279998779296875,61.66749954223633,300233600.0,,cruceSMA_,54,737502.0,Broker,54,343.26499938964844,219.93000030517578,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2020-03-19 00:00:00,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,271857200.0,,cruceSMA_,55,737503.0,Broker,55,343.26499938964844,220.875,BuySell,55,,,Trades - Net Profit/Loss,55,,
